text,category,sentiment
hàng đúng chuẩn đơn . hãng giá rẻ . giao hàng hơi ngạc_nhiên : ) . hôm hôm . đầu mua tiki ổn . máy chưa nhận_xét . kì hài_lòng,Ship,positive
"máy_đẹp , chất_lượng tốt , test ứng_dụng chạy mượt , cấu_hình mạnh_mẽ , shop uy_tín gửi hàng chất_lượng như quảng_cáo , giao hàng đúng hẹn , nhân_viên làm_việc chuyên_nghiệp , vui_vẻ tận_tâm khách_hàng , vừa_lòng , giới_thiệu người_thân ủng_hộ shop . 5 *",Ship,positive
giao hàng hàng chất_lượng đóng_gói cẩn_thận . chất_lượng,Ship,positive
"hàng nguyên seal . kích_hoạt bảo_hành điện_tử mua . giao hàng hơi , 11.1 16.1 . mua đợt sale 11.1 giá tốt .",Ship,negative
"giao hàng siêu , máy nhẹ , màu gold đẹp nha , mua người_lớn cấu_hình đủ tốt . kì hài_lòng",Ship,positive
"giao hàng , đóng_gói cẩn_thận . shiper chủ_động khui hộp kiểm_tra hàng đầy_đủ . máy chạy tốt , đẹp đúng hàng hãng vna hàng , đóng_gói cẩn_thận",Performance,positive
hài_lòng . 99 % hơi . chờ .,Other,positive
mua đi gất dể thương,Other,positive
"sản_phẩm mua tầm giá . hôm mua áp mã giảm_giá 4tr 3 . màn amoled đẹp chất_lượng hiển_thị oke , thiết_kế ấn_tượng , đẹp . máy mượt , sạc siêu . camera đủ 16m . cam oppo không . không game không đc . tóm mua tầm giá 4tr3 4tr5 . mua tầm giá 4tr",Model,positive
"hàng oke , keng xà_đơn_vị giao hàng bưu_cục ,",Ship,negative
"máy 3 shop , chất_lượng máy tốt lắm , pin bọng ổn , máy đẹp , ứng_dụng hoạt_động tốt , màn_hình cảm_ứng nhạy , màu_sắc rực_rỡ , shop làm_ăn uy_tín , nhiệt_tình chăm_sóc khách_hàng , chế_độ hậu_mãi rõ_ràng , shop 5 , ok ,",Performance,positive
"chuẩn , shop giao hàng , sản_phẩm đẹp , chất_lượng đúng như quảng_cáo , chuẩn , nhân_viên hàng nhiệt_tình , tận_tâm khách_hàng , shop uy_tín , giới_thiệu shop bạn_bè người_thân , vừa_ý an_tâm sản_phẩm shop ,",Service,positive
"hài_lòng sản_phẩm shop , máy đẹp , hoạt_động ổn_định , cấu_hình mạnh , màn_hình cảm_ứng nhạy màu_sắc rực_rỡ như mong_đợi , shop giao hàng đúng hẹn , chất_lượng đúng như quảng_bá , đồng_tiền , shop",Price,positive
hộp . hàng vỡ hộp gói bầm dập . hộp máy nguyên . chưa sản_phẩm,Ship,negative
"giao hàng , 1 điện_thoại nguyên seal , điện_thoại ám tím , tím độ màu xanh màn_hình camera đều màu tím thương_hiệu tiki nổi_danh màn_hình thành màu tím , phàn_nàn chất_lượng sản_phẩm tiki , đề_nghị tiki đổi sản_phẩm . thoại ám tím",Genuineness,positive
"máy ổn , shop .",Other,positive
hàng hãng nguyên seal . đóng_gói hơi sơ saigon hanoi . hộp bẹp 1 đầu hơi hoang_mang may máy không . máy tốt tầm giá . mua .,Genuineness,positive
"hàng , điện_thoại như hình . máy 99 % . cảm_ứng mượt_mà , màn_hình đẹp . chụp hình căng đét , nghe gọi sóng mạnh . web cày game bao mướt . . giá rẻ giá rẻ ngon lắm . lăn_tăn hốt liền .",Performance,positive
pin ổn .,Configuration,positive
"giao hàng , đóng_gói cẩn_thận . nguyên niêm_phong . cài_đặt 1 ap . chưa hiệu_năng . camera thò thụt lạ , bắt nét tốt . hàng , đóng_gói cẩn_thận .",Configuration,positive
"giao hàng , sản_phẩm ok . nguyên_bản kì hài_lòng",Ship,positive
loa máy rè cám_ơn shop thay hộ pin,Configuration,negative
pin trâu . camera chụp hơi tệ . ứng_dụng chạy mượt đáp_ứng đủ công_việc . giá tốt .,Price,positive
ổn,Other,positive
"điện_thoại không gõ tiếng việt , không sim . sim mạng không , không gửi nhắn",Configuration,negative
giao hàng nguyên seal . ổn . coi . thiết_kế đẹp ủng_hộ 5 * kì hài_lòng,Model,positive
"shop uy_tín giao hàng đúng , sản_phẩm đẹp , chất_lượng hàng , test đúng như shop mô_tả , niềm shop . shop giao hàng đúng như quảng_cáo , bình_chọn shop 5 .",Ship,positive
hàng đẹp lắp lưng điện_thoại lắp rơi dán băng_dính,Configuration,negative
sản_phẩm tạm_thời tạm,Other,positive
"hàng_không kép chân_đế , miếng nhựa kẹp điện_thoại gãy . phản_hồi không hài_lòng",Accessories,negative
"sản_phẩm đúng như quảng_cáo , giao hàng nhanh_chóng , đóng_gói 90 % . kì hài_lòng",Ship,positive
"vui , shop giao hàng đẹp , chất_lượng tốt , giá hợp_lý , máy hoạt_động ổn_định , pin chức_năng cơ_bản , như nghe gọi , chụp hình đẹp , lướt web mượt cảm_ứng nhạy , hoàn_thiện , đồng_tiền , shop làm_ăn uy_tín giao hàng đúng hẹn , sản_phẩm đúng",Ship,positive
sản_phẩm tốt tầm giá ! pin trâu sai không nóng máy !,Price,positive
"máy đặt_hàng thanh_toán 11 / 11 , 16 / 1 chưa ( chưa active ) . 25 / 1 chưa hóa_đơn , xuất_hóa đơn gấp , istore hỗ_trợ_giúp . tks hóa_đơn ?",Service,negative
"sản_phẩm tốt , tác vụ cơ_bản ổn không chs game như fre fire",Performance,positive
"máy ban_đầu ổn , pin tuột hơi chấp_nhận đc , shop tặng bao da_màu đỏ tươi nổi 😂 , 5 * . ủng_hộ shop tiếp",Configuration,negative
"màn_hình đẹp , máy mỏng nhẹ y pin ổn game",Configuration,positive
"hàng nguyên seal , đóng_gói cẩn_thận . hộp móp 1 tí góc . kì hài_lòng",Ship,positive
hàng oke lắm ❤ ️ ❤ ️ ❤ ️ . shop nhiệt_tình 😘,Service,positive
"mua sản_phẩm shop , máy đẹp lắm , chất_lượng tốt , ứng_dụng hoạt_động bình_ổn , màn_hình cảm_ứng , màu_sắc rực_rỡ , chức_năng cơ_bản đều hoàn_hảo , hài_lòng vừa_ý lắm , nhân_viên shop nhiệt_tình tâm khách_hàng , an_tâm sản_phẩm shop",Service,positive
máy hãng phân_phối màu xanh lá đẹp . pin tốt . mượt . tặng kèm ốp silicon suốt như . hài_lòng sản_phẩm . kì hài_lòng,Performance,positive
máy một lag . kì hài_lòng,Performance,negative
"hàng_không sản_phẩm , kích_thước . hài_lòng",Model,negative
"sài_ngon , đúng hàng hãng vna. tiếc ít màu bổ rẻ",Genuineness,positive
"chất_lượng tốt sản_phẩm đẹp sang_trọng cấu_hình mạnh_mẽ pin trâu hài_lòng vừa_ý , chúc shop đắt",Configuration,positive
"đều tốt giá tốt : 19.440 k trừ khuyến_mại citi bank 2 tr trả_góp . kích_hoạt bảo_hành : điện_thoại 4 / 11 , bảo_hành kích_hoạt 1 / 1 như_không mất . lo đừng lo_lắng điện_thoại ok , nguyên đai nguyên kiện bóc . niêm_phong không dán không không tem s không nhận_dạng điểm_trừ : cạnh hơi xước ( ) . xác_định quăng_quật điện_thoại màn_hình ko . trộm_vía 2 - 3 ngày_nay ổn mua tiki trading hi_vọng tiki không làm_bạn thất_vọng xước nhẹ góc hộp",Genuineness,positive
"đóng_gói cẩn_thận , giao hàng hơi . kì hài_lòng",Ship,negative
"shop uy_tín , giao hàng đúng hẹn , máy chất_lượng đúng quảng_cáo , phong_cách làm_việc chuyên_nghiệp , máy đẹp , chức_năng chạy mạnh , màu_sắc màn_hình , hài_lòng , ủng_hộ shop , một",Service,positive
"giao hàng , nhân_viên tốt . hàng nguyên tem sản_phẩm oke kì hài_lòng",Ship,positive
"giao hàng , tặng kèm cục sạc ngon_lành ! cài google camera đẹp .",Ship,positive
đẹp long_lanh dã_man . lắm . mượt_mà chuẩn xịn . giao hàng nhiệt_tình . kì hài_lòng,Model,positive
"máy đẹp , shop giao hàng đúng chuẩn , chức_năng ổn_định , cấu_hình mạnh_mẽ mạng phim , game tuyệt_vời , màn_hình cảm_ứng nhạy , giá_cả hợp_lý , hài_lòng vừa_ý , shop giao hàng đúng như mong_đợi",Model,positive
"dịch_vụ giao hàng tiki tốt , điện_thoại lỗi mất sóng . wifi ứng_dụng mất chức_năng điện_thoại , gởi bảo_hành mất sóng",Configuration,negative
"shop uy_tín , giao hàng đúng hẹn , máy chất_lượng đúng quảng_cáo , phong_cách làm_việc chuyên_nghiệp , máy đẹp , chức_năng chạy mạnh , màu_sắc màn_hình , hài_lòng , ủng_hộ shop , một",Model,positive
hàng kém chất mua phần_mềm chạy chậm . nhảy liên mau . đề_nghị đổi máy gâp,Configuration,negative
hàng nguyên niêm_phong chưa active hãng vna giá tốt 1 siêu phẩm ra_mắt chưa : d_chất giá rẻ,Genuineness,positive
giao hàng siêu chiều ng gọi giao tp . shop tư_vấn nhiệt_tình đẹp mượt vọng rẻ shop . 👍,Model,positive
"giao phần_gắn điện_thoại dây sắt , mong tiki bổ_sung đổi hàng giúp",Accessories,negative
không ngờ hàng việt_nam tốt . 1 bất_tiện sản_phẩm túi quần kì hài_lòng,Model,negative
ae cư tin_tưởng hàng việt nam đi không thất_vọng mua điện_thoại game nóng máy tóm hàng việt nam chất_lượng cám_ơn vượng tin_tưởng tiki kì hài_lòng,Other,positive
máy đẹp check pin báo sạc 1 @ @ . mua máy tốt ipad,Model,positive
"hàng hôm_qua , hài_lòng . hôm_nay tiki giảm_giá sản_phẩm , kèm khuyến_mại , tự_nhiên hớ mất 300k . giao hàng hôm_qua , hôm_nay tiki mã 300k ( hớ )",Price,negative
"tiki giao hàng dự_tính . máy mượt sạc , cảm_giác bóc siêu phê 1 tuần tiếp thanks ủng_hộ tiki , hài_lòng",Configuration,positive
5 dịch_vụ tiki . máy hối_hận mua . giá khuyên mua note 9s . ram bé chất_lượng hoàn_thiện note 9s đứt realme 6 kì hài_lòng,Other,positive
"ship , điện_thoại mượt , chụp ảnh đủ đẹp , màn_hình đẹp mẹ !",Configuration,positive
"máy đẹp , chất_lượng như shop quảng_cáo , test chức_năng đều hoạt_động tốt , màn_hình đẹp , màu_sắc rực_rỡ như mong_đợi , cầm đầm chảnh , shop uy_tín , giao hàng đúng hẹn , nhân_viên phục_vụ tốt , hài_lòng lắm , ủng_hộ sản_phẩm shop ,",Service,positive
"máy máy kích_hoạt bảo_hành , hộp không nguyên seal . máy nguyên , phụ_kiện đầy_đủ , kích_hoạt ( 10 hàng ) 5",Genuineness,negative
"mua ip12 mini green 1 sản_phẩm . tikinow giao vòng 2h , đóng_gói kỹ_lưỡng , không ảnh_hưởng hộp . sản_phẩm nguyên niêm_phong chưa bóc , hãng apple , cửa_hàng hàng tiki sẵn hàng giao . giá_cả tạm ổn , không như fpt , tgdd , . kì hài_lòng",Ship,positive
không nghe đầu dây kia không hài_lòng,Other,positive
"tốt , mua redmi note 5 , redmi note 7 , redmi note 8 . giao hàng , đóng_gói kỹ",Ship,positive
hàng tốt đầy_đủ phụ_kiện máy,Model,positive
"hàng . máy đẹp . chức_năng hoạt_động tốt . máy tầm 99 % , phụ_kiện đầy_đủ . giao hàng . máy đúng như quảng_cáo . nhân_viên nhiệt_tình . shop chu_đáo thân_thiện . hài_lòng . tặng shop 5 . chúc shop phát_đạt .",Performance,positive
cám_ơn shop hàng đẹp,Model,positive
"máy đẹp shop , giá_cả hợp_lý , shop giao hàng đúng hẹn , chất_lượng không , chuẩn , vừa_ý hài_lòng , đồng_tiền bát gạo , shop phục_vụ chuyên_nghiệp , chế_độ hậu_mãi rõ_ràng , an_tâm sản_phẩm giá 5sao ,",Service,positive
mua hàng đúng chuẩn . tiki giao hàng không đúng 2 - 3h như quảng_cáo,Genuineness,positive
"hàng ipad 10.2 inch wifi 32gb new 2019 , tiki không phiếu bảo_hành ? hàng",Other,positive
"nội_thành tphcm cộng giao tikinow tốc_độ như tên_lửa : xác_nhận máy chưa 3 tiếng . box gói oke cộng hộp chống shock apple chả sợ . máy 5s , 8plus . hàng hãng vn / a xác_suất lỗi . trải nghiệm nửa oke : chụp ảnh đẹp thế_hệ , loa to sắc vãi nồi . test ! kì hài_lòng",Ship,positive
"máy đẹp , cấu_hình mạnh chất_lượng oke shop uy_tín giao hàng đúng hẹn , hài_lòng lắm , ủng_hộ shop .",Configuration,positive
"hàng hãng như shop mô_tả , chạy rom global sẵn tiếng việt . điện_thoại chạy mượt , 3 triệu cấu_hình ngon . shop gói hàng cẩn_thận , bọc túi_bóng khí .",Performance,positive
"máy đẹp . hài_lòng mua hàng online . cấu_hình máy ứng_dụng mượt . game ngon . test pubg liên_quân mượt . đúng hàng hãng . test tốt , shop 1 đơn . chúc shop thành_công , đông",Model,positive
"sản_phẩm đẹp . xài thử chức_năng oke . bộ_nhớ trống 6gb , xài thẻ_nhớ . gắn sim nghe gọi oke",Model,positive
"note 10 + đa_nhiệm , render chuẩn reboost . nữ cầm chắc_tay ứng_dụng văn_phòng tốt . 1 giựt mất thành_phố hồ_chí_minh , tiếc tiki không_thể khóa knox sản_phẩm mất . lý tốt đồ_họa render chuẩn",Performance,positive
"giao hàng , máy đẹp nguyên seal , khui máy . mong shop nhiệt_tình . máy tổng_quan . shop tốt .",Model,positive
"1 . giao hàng , tối hôm_nay , chiều sớm_hôm giao . 2 . nguyên_xi 100 % , đẹp màu xám không xám bạc màu trắng xám nhạt kiểu pastel ( màu phai ) màu đen đẹp . 3 . giá 4.990.0 14k giao hàng đều vô trả_góp . sung_sướng mua giá tốt máy_tính bảng . chưa tiệm coi màu đen xám pastel đẹp . 4 . 24h test không chê . âm_thanh , ánh_sáng đều tuyệt_vời . mua ốp 100k , dán màn_hình 60k vi_vu giải_trí kì hài_lòng",Ship,positive
nghe gọi không mong . sản_phẩm oke,Other,positive
"loa phát_âm_lượng dòng sản_phẩm , giá mua sale sản_phẩm .",Configuration,negative
"giá_như không_thể đòi_hỏi , máy đùng lướt web , video , đọc pdf tốt hơi chậm , giật , đứng máy .",Performance,negative
"hàng ngon , shop phục_vụ tốt chu_đáo bao da đẹp .",Service,positive
"máy đẹp 97 % , game mượt , pin 2k7 hơi pin . áp_suất . camera nét , loa . màn phản_quang đóm không ảnh_hưởng .",Model,positive
"sảng phẩm oke chất_lượng lắm , hài_lòng , pin cực_kì trâu , shop làm_việc tốt yên_tâm",Configuration,positive
"máy_đẹp , hãng , check imei đều ok . mỗi_tội hàng hn hơi ưng bụng 5 : ) kì hài_lòng",Ship,negative
"ưng bụng hàng xong 30 phút giao tận_tay ful niêm_phong tiki brand camera : không bàn . xấu quắc chụp cam hơi xấu độ mượt : mế lỳ độ : bàn cải chi . cầm 12 promax 256 . bận đồ ngủ không sexy trở_nên quyến_rũ không anw , love my phone kì hài_lòng",Accessories,positive
"sản_phẩm tốt , pin năng tốt mẫu_mã đẹp , giá_cả hợp_lý , nhân_viên shop nhiệt_tình vui_vẻ , hài_lòng sản_phẩm phong_cách phục_vụ shop ,",Performance,positive
"giá tiền hợp_lý r , mặt cấu_hình hơi yếu lag",Configuration,negative
"bữa hôm 1tr8 . mùa dịch mua 1 máy không xịn thằng giải_trí , học_tập đủ chức_năng hài_lòng . màn_hình , pin oke tầm giá . máy nhẹ , màu đẹp , trẻ_em , kho ứng_dụng amazon không đa_dạng như android không sợ tải game bậy_bạ . tốt 👌 🏻 👍 🏻",Price,positive
"hàng điện_thoại bọc giấy , không lớp xốp chống xóc . tiki bọc hàng kì . điện_thoại ok , vân nhận_diện khuôn_mặt ổn . phẩm ổn , giao hàng chưa ổn",Service,negative
"tiki trading chưa thất_vọng , mua sản_phẩm_giá hợp_lý yên_tâm không lo_sợ hàng kích hàng , hàng nhá . giao hàng dự_kiến , đóng_gói cẩn_thận . hàng nguyên seal , chưa active , hài_lòng sản_phẩm . 5 tiki trading sản_phẩm , 5 tiki trading",Price,positive
"tiki giao hàng dự_tính . máy mượt sạc , cảm_giác bóc siêu phê 1 tuần tiếp thanks ủng_hộ tiki , hài_lòng",Genuineness,positive
"giao hàng , đóng_gói cẩn_thận giấy lót chống rung lắc , không vỏ hộp khui niêm_phong tem niêm_phong . hàng tặng sinh_nhật chưa kiểm_tra . hài_lòng kì hài_lòng",Ship,positive
giao hàng chậm . mua dòng máy đều tai_nghe . sản_phẩm không .,Accessories,negative
"ok tốt rẻ , shop giao hàng hài_lòng , chất_lượng tốt , máy màu_sắc rực_rỡ , màn_hình đẹp , cấu_hình mạnh_mẽ , camera chụp ảnh nét êm_ái , chức_năng cơ_bản hoạt_động tốt ổn_định , giới_thiệu bạn_bè người_thân ủng_hộ shop",Model,positive
"chuẩn nha anh_em , shop giao hàng hẹn , chất_lượng máy tốt , máy đẹp cấu_hình ổn_định , chức_năng chạy mượt , màn_hình cảm_ứng nhạy , màu_sắc_đẹp như mong_đợi , chiến game sướng , pin trâu , hài_lòng vừa_ý , shop 10 chất_lượng phong_cách phục_vụ",Model,positive
"máy tạm ổn , mua chưa 1 tuần , thử như . máy chạy , camera bao đỉnh , nhẹ đẹp . tiếc màu trắng nowship q1 40k hàng 2 - 3h . kì hài_lòng",Performance,positive
yếu . lỏng lẽo . tạm,Other,positive
"hàng đóng_gói cẩn_thận , nguyên seal , đúng imei , màn_hình mượt , pin_khỏe . cầm_hơi nhẹ . giá tiền . shop liên_lạc mua .",Service,positive
"mua hàng hôm 16 / 2 , 20 / 2 . máy , ốp hươu đẹp . màu đỏ đun đẹp . thao_tác máy dễ_dàng ( bao_gồm copy truyện máy ) . khuyên mua trang_chủ amazon đăng_ký tài_khoản . tiết_kiệm pin bật",Accessories,positive
"chất_lượng sản_phẩm tuyệt_vời , shop chu_đáo , giao hàng .",Service,positive
"sản_phẩm đầy_đủ phụ_kiện , điện_thoại sóng_khỏe , pin trâu . giao hàng . hôm đặt_hàng hôm giao a giao hàng vui_tính nhiệt_tình . 5 . tốt .",Configuration,positive
máy không chạy tác vụ ! web youtube đều không,Performance,negative
"sản_phẩm tốt , đóng_gói . pin 86 % . máy_đẹp , giá rẻ . ủng_hộ",Price,positive
"hàng mô_tả , đóng_gói cẩn_thận !",Ship,positive
"tốt tầm giá , mua ba_má hợp_lý kì hài_lòng",Price,positive
"chưa hóa_đơn . tiki kiểm_tra gửi hóa_đơn email . cảm_nhận 1 : máy tốt , hàng hãng vna , cảm_giác máy nóng , có_lẽ máy chạy ứng_dụng chưa tắt , một set up không nóng , ok . review tiếp",Genuineness,positive
"sản_phẩm mô_tả , cấn móp cạnh , phụ_kiện đầy_đủ củ sạc hỏng không . tặng kèm ốp nhựa không bao da .",Accessories,negative
"hàng ổn , hợp_tác lâu_dài 👌",Other,positive
"tiki trading hàng xt mobile ram 6gb ( thanh_toán mấy hàng ram 4gb , sơ_ý vội bóc niêm_phong đành chấp_nhận không hàng hoàn tiền . bực không đúng phiên_bản 6gb . liên_hệ tiki phản_ánh bù chênh giá 2 phiên_bản ( như giá web mấy trăm ngàn ) . tiki trả_lời xt mobile bảo phiên_bản ram 4gb 6gb giá không bù tiền chênh_lệch . lý_lẽ ngang cua . bao_bì giấy_tờ biên_lai đi kèm hộp đồ tiki , xt mobile đều ghi active 3 phiên_bản ram 6gb , song lõi điện_thoại ram 4gb . hiển_nhiên chả nhầm_lẫn xt mobile làm_ăn_gian_dối . bực email tiki xt mobile_xuất hóa_đơn evat bằng_chứng xt mobile làm_ăn_gian_dối . bận công_việc không liên_lạc . mấy tuần evat không , tiki liên_lạc gửi voucher 200k xin_lỗi giao nhầm điện_thoại . thực bực 6gb đắt ít 4gb , lỡ bóc niêm_phong đánh . tiền mua trừ voucher 200k tiki gửi đi mấy shop mua ram 6gb không 4gb như . mua mấy tiki 10 triệu đều ổn , mua giá_trị không chú_ý ăn quả_lừa . mua mua mua tiki_trading istore né thằng xt mobile , làm_ăn gian_dối . mobile làm_ăn_gian_dối",Service,negative
2 mua shop . vẫn_vậy tư_vấn nhiệt_tình hàng đẹp như chất_lượng tốt . hôm hôm hàng . thank shop !,Model,positive
"mua , pin trâu , bình_thường , tương_ứng tiền thương_hiệu .",Configuration,positive
"máy , đẹp . cảm_ứng tốt . kì hài_lòng",Model,positive
"giá rẻ thị_trường mua màu trắng , ship chưa 04 tiếng . 10 / 10 kì hài_lòng",Ship,positive
"mua mẹ , máy êm , to người_lớn hàng hãng chất lương kì hài_lòng",Performance,positive
máy trầy hơi . ổn không phàn_nàn,Model,negative
"hàng ngon . đều ổn_định . mua hàng shop mấy đơn chưa thất_vọng . máy chạy ổn_định . shop uy_tín . yên_tâm đặt_hàng shop . nhiệt_tình , trả_lời nhắn . ok",Performance,positive
"shop giao hàng chuẩn , máy đẹp , hoàn_thiện chi_tiết , cấu_hình mạnh_mẽ , màn_hình cảm_ứng nhạy màu_sắc rực_rỡ , shop uy_tín nhiệt_tình khách_hàng , chế_độ bảo_hành rõ_ràng yên_tâm sản_phẩm , giới_thiệu bạn_bè người_thân ủng_hộ shop ,",Configuration,positive
"vn / a ngon_lành , hoá_đơn điện_thoại show imel , good ! kì hài_lòng",Genuineness,positive
"da bóng , dày . túi ngăn đựng ipad , điện_thoại , sạc , ví , tiền , thẻ , sổ_tay . nút gài nam_châm hơi không quen loại lắm . khoá vặn như túi_xách đóng . đẹp",Other,positive
"sản_phẩm tốt , , shop phục_vụ chu_đáo , giao hàng , mẹ không ảnh sản_phẩm",Service,positive
"tiki đóng_gói kỹ , hộp nguyên seal . khởi_động máy kích_hoạt bảo_hành thành_công . máy hơi dày 1 chút , đọc thông_số máy , có_lẽ pin lớn 50 mpa . máy màn_hình đẹp độ tốt . máy mua chưa phát_hiện lỗi màn_hình . camera thử chụp ban_ngày ok , chi_tiết tốt . camera selfie đẹp , không lố . không rành camera chất_lượng hài_lòng . tầm giá không hối_tiếc mua máy . vn chất_lượng tốt",Ship,positive
"giao hàng cực , mua trả_góp tiki ưu_đãi tốt kì hài_lòng",Ship,positive
"giao hàng , đóng_gói kĩ , sản_phẩm hãng , mượt , chụp ảnh đẹp , tiền tốt",Performance,positive
"pin , sản_phẩm hợp giá tiền , giao hàng siêu . kì hài_lòng",Configuration,positive
"hàng nguyên seal , ok , sản_phẩm tốt tầm giá , giới_thiệu bạn_bè mua",Genuineness,positive
"không hoá_đơn bảo_hành , nhắn_tin shop phản_hồi . không hài_lòng",Service,negative
"thiết_kế đẹp , hiệu_năng chưa chính_xác đc . ổn tầm giá . kế đẹp",Model,positive
hàng shop tư_vấn nhiệt_tình hàng hãng nguyên niêm_phong,Service,positive
"shop giao đúng màu đúng mẫu , hàng nguyên seal , gói hàng chưa tốt , oke",Genuineness,positive
"hàng đóng_gói cẩn_thận , nguyên seal , đúng imei , màn_hình mượt , pin_khỏe . cầm_hơi nhẹ . giá tiền . shop liên_lạc mua .",Model,positive
"máy màu trắng đẹp , 1 sản_phẩm_giá rẻ không_thể đòi_hỏi hiệu_năng ổn đc , ram 2gb trống 50 mb , đủ chạy youtube zalo phục_vụ công_việc ổn , viền màn_hình dày loa hơi . kì hài_lòng",Price,positive
máy đẹp pin hơi yếu yt một 5 - 6 % không,Configuration,negative
điện_thoại hư đèn bàn_phím . đổi bảo không lỗi . không . thề không mua đồ . đảo,Service,negative
"đúng chuẩn , sản_phẩm , shop giao hàng đúng hẹn , nhân_viên tư_vấn nhiệt_tình , bề_ngoài máy đẹp , ứng_dụng hoạt_động tốt , màn_hình cảm_ứng nhạy , màu_sắc rực_rỡ như mong_đợi , camera chụp sướng nét , mạng lướt web , phim game",Performance,positive
"test . ok . máy_móc ổn_định , shop phục_vụ nhiệt_tình . chất_lượng máy chê . máy cứng_cáp , . ổn_định tầm giá . giao hàng chậm dự_kiến 1 không . giao hàng dự_kiến . shop uy_tín giao hàng đúng quảng_cáo",Model,positive
màu xanh giao hàng màu đen . màu đen okay,Other,positive
sản_phẩm_giá tốt nhu_cầu . cải_tiến xoay hướng góc_độ kì hài_lòng,Other,positive
"shop nhiệt_tình đặt_hàng hướng_dẫn hàng , sản phầm đóng_gói thận , kỹ_càng . sản_phẩm 100 % nguyên seal , tặng kèm 2 miếng dán cường_lực . giao hàng trời mưa : )",Ship,positive
"không chê , shop đóng_gói kỹ , hàng nguyên niêm_phong , điện_thoại chạy ổn . 5 shop",Model,positive
oke shop 5s,Other,positive
"hàng giá_trị 1 hộp đóng_gói kêu ký_tên chạy liền , hàng k , shiper trả_lời 1 câu , xong không hài_lòng gọi tổng_đài , ... , nhân_viên đi hộp không đồ cục gạch , gọi tổng_đài xong , mua hàng mấy đều long sản_phẩm , không hài_lòng phong_cách giao hàng tiki now",Ship,negative
hàng máy cảm_ứng chậm sóng kém . đi bảo_hành đổi 3 máy sóng 4g kém buồn .,Performance,negative
hàng đẹp tốt ! kì hài_lòng,Model,positive
máy new ful box . chưa active . mã ll. giao hàng kì hài_lòng,Ship,positive
